timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1.52968E+15,-1,3,-11,-3,-1,-5,14,2
1.52968E+15,3,18,14,6,4,4,13,2
1.52968E+15,-6,-33,-24,-9,-6,-10,-34,-5
1.52968E+15,-1,-14,5,3,-2,-11,-6,-2
1.52968E+15,0,-2,-11,0,2,-5,2,3
1.52968E+15,0,-1,13,5,5,5,7,2
1.52968E+15,1,15,-7,4,-2,-14,9,2
1.52968E+15,-4,-8,-5,-12,-3,-3,-2,-7
1.52968E+15,2,-6,-23,2,2,-3,-2,-13
1.52968E+15,-5,6,53,8,-4,-12,-15,-16
1.52968E+15,1,-3,-27,-5,-1,3,6,9
1.52968E+15,-3,1,9,4,-6,4,8,0
1.52968E+15,6,29,9,4,2,6,-28,2
1.52968E+15,0,-13,-32,-8,2,1,9,2
1.52968E+15,1,20,30,14,7,13,30,10
1.52968E+15,-4,-19,-5,3,-3,-5,-3,-7
1.52968E+15,-4,2,18,-6,-7,-12,-6,-6
1.52968E+15,-1,-13,-7,7,0,-3,-9,-3
1.52968E+15,3,17,-23,-3,0,12,5,5
1.52968E+15,-2,3,-17,-6,4,-2,-4,-7
1.52968E+15,-3,-18,26,8,-5,2,-5,-4
1.52968E+15,-4,-12,-14,-13,-8,-5,-8,-9
1.52968E+15,1,9,8,1,-1,13,9,1
1.52968E+15,2,6,3,4,2,2,-5,-2
1.52968E+15,2,12,6,5,3,8,-8,1
1.52968E+15,-1,6,7,4,2,-10,-18,-3
1.52968E+15,1,-21,-43,-12,-1,-12,-2,-9
1.52968E+15,1,19,17,-6,-6,-2,24,20
1.52968E+15,0,-6,-2,-2,-5,-10,7,-9
1.52968E+15,1,-4,17,-1,3,-7,2,5
1.52968E+15,-2,-4,13,11,2,-7,-2,9
1.52968E+15,-3,-28,-39,-5,1,-7,-11,-2
1.52968E+15,4,-9,-7,-4,-2,5,10,2
1.52968E+15,0,19,12,4,-2,15,22,17
1.52968E+15,-2,6,15,1,-2,-8,-16,-2
1.52968E+15,-1,-12,-12,-12,-7,4,0,-3
1.52968E+15,1,5,15,10,4,10,5,-3
1.52968E+15,-4,-15,-24,-8,-2,-6,-11,-11
1.52968E+15,6,8,25,10,6,1,1,2
1.52968E+15,-4,-1,-10,-10,-4,-6,3,-7
1.52968E+15,-3,2,-19,-13,-10,-6,-9,0
1.52968E+15,2,-7,2,1,5,10,5,2
1.52968E+15,-3,19,1,6,3,19,2,3
1.52968E+15,-5,-12,0,-6,-5,-4,-12,-13
1.52968E+15,-4,-14,-38,-3,5,-24,-18,-1
1.52968E+15,6,11,20,6,2,-2,10,-4
1.52968E+15,2,-5,13,-2,-5,4,5,5
1.52968E+15,-1,5,7,7,0,10,-10,-6
1.52968E+15,-1,17,16,1,-5,0,4,0
1.52968E+15,1,-14,-28,-4,-3,-14,11,-2
1.52968E+15,-10,-12,-18,-9,-1,4,-15,-13
1.52968E+15,5,15,28,11,2,5,-2,0
1.52968E+15,1,10,-1,-2,3,-13,1,1
1.52968E+15,-5,-10,-26,-10,-3,-3,-6,-1
1.52968E+15,-6,-17,4,-2,-8,0,16,5
1.52968E+15,-4,-13,-20,-1,0,-1,-6,1
1.52968E+15,0,18,19,2,5,-6,1,-4
1.52968E+15,-3,-15,18,6,-5,-5,-9,-8
1.52968E+15,-1,-3,-3,-5,-2,4,6,4
1.52968E+15,-3,-1,-3,-1,0,-2,-1,2
1.52968E+15,2,-1,-4,4,-1,0,-3,2
1.52968E+15,6,17,8,0,-3,-9,-12,2
1.52968E+15,-3,-1,2,-4,-5,-15,-14,-25
1.52968E+15,2,15,-10,-6,-2,9,5,2
1.52968E+15,-6,-25,-5,-3,-4,-12,15,-2
1.52968E+15,-1,5,1,-5,-3,2,-7,-5
